職缺名稱,公司資訊,薪資,網址,所需技能,工作經歷,公司地址
企業輿情大數據分析師,影響力數據顧問股份有限公司,"月薪30,000~45,000元",https://www.104.com.tw/job/6yaz0?jobsource=jolist_c_relevance,[''],1年以上,台北市松山區敦化北路214號3樓
大數據分析專員,瑄品股份有限公司,待遇面議,https://www.104.com.tw/job/6vxae?jobsource=jolist_c_relevance,[''],1年以上,新北市新莊區
【大數據】Hadoop系統工程師,中華系統整合股份有限公司,待遇面議,https://www.104.com.tw/job/71msm?jobsource=jolist_c_relevance,"['Linux', 'Java', 'Python', 'hadoop', 'AWS', 'TCP/IP', '']",3年以上,台北市大安區
(大數據)零售研究員(Python),東方線上股份有限公司,"月薪35,000~42,000元",https://www.104.com.tw/job/3o5cn?jobsource=jolist_c_relevance,"['Excel', 'SPSS', 'Python', '']",不拘,台北市大安區信義路四段306號7樓
（農場事業處）大數據系統工程師,英屬開曼群島商長穩智能科技股份有限公司台灣分公司,待遇面議,https://www.104.com.tw/job/6zx8e?jobsource=jolist_c_relevance,"['Java', 'Python', 'ANSI SQL', 'MS SQL', 'PL/SQL', 'PostgreSQL', '']",3年以上,台北市內湖區瑞光路608號13樓
03_大數據科學家,台灣之星電信股份有限公司,待遇面議,https://www.104.com.tw/job/5amyj?jobsource=jolist_c_relevance,[''],2年以上,台北市內湖區堤頂大道二段239號
D4000 大數據平台工程師(Java),富邦媒體科技股份有限公司(富邦momo),"月薪35,000元以上",https://www.104.com.tw/job/5atn7?jobsource=jolist_c_relevance,"['Java', 'Spring', 'PL/SQL', '']",1年以上,台北市內湖區洲子街96號4樓
大數據系統開發儲備幹部/主管 (上海&嘉善),鎧勝控股_日冠金屬股份有限公司,待遇面議,https://www.104.com.tw/job/6z01o?jobsource=jolist_c_relevance,[''],5年以上,上海市/嘉善縣
「大數據研發」網路系統工程師,華聯生物科技股份有限公司,待遇面議,https://www.104.com.tw/job/5owsg?jobsource=jolist_c_relevance,"['PHP', 'MySQL', 'HTML', 'JavaScript', 'jQuery', '']",2年以上,新竹市科學工業園區科技五路6號6樓
Java/Python/Go 大數據平台工程師,艾得基客行銷顧問股份有限公司,待遇面議,https://www.104.com.tw/job/6j2dn?jobsource=jolist_c_relevance,"['Linux', 'UML', 'Java', 'PHP', 'Python', 'MySQL', 'RDBMS', 'HTML', 'JavaScript', 'jQuery', 'HTTP', 'ssh', '']",1年以上,台北市大安區敦化南路二段76號16樓
大數據專案規劃工程師-台北(DF0),物聯網股份有限公司,待遇面議,https://www.104.com.tw/job/7066r?jobsource=jolist_c_relevance,"['Excel', 'PowerPoint', 'Project', 'Word', '']",5年以上,台北市大安區敦化南路二段97號26樓
市調經理 / 大數據分析師,威聯網科技有限公司,"月薪28,000元以上",https://www.104.com.tw/job/73cip?jobsource=jolist_c_relevance,"['Excel', 'PowerPoint', 'Word', '中文打字50~75', 'Adobe Photoshop', 'CorelDraw', 'Illustrator', '']",6年以上,高雄市前鎮區復興四路2號B棟4F(A12)
數據架構管理師(大數據處),台灣大車隊股份有限公司,待遇面議,https://www.104.com.tw/job/73h4r?jobsource=jolist_c_relevance,[''],5年以上,新北市三重區重新路五段609巷2號7樓之1
